,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
112,Cabedelo,BR,-6.9811,-34.8339,86.67,68,98,15.57,overcast clouds
113,Aykhal,RU,66,111.5,25.57,93,100,19.3,overcast clouds
114,Geraldton,AU,-28.7667,114.6,52.21,76,0,11.5,clear sky
115,Lebu,CL,-37.6167,-73.65,57.16,46,0,14.5,clear sky
116,Kumul,CN,42.8,93.45,60.87,23,83,5.91,broken clouds
117,Mar del Plata,AR,-38.0023,-57.5575,53.62,64,75,11.99,broken clouds
118,Mongu,ZM,-15.2484,23.1274,86.63,28,97,2.46,overcast clouds
119,Anito,PH,12.4497,125.2886,77.92,90,99,7.02,moderate rain
120,Santa Vitória do Palmar,BR,-33.5189,-53.3681,67.96,52,5,9.64,clear sky
121,Inongo,CD,-1.95,18.2667,74.37,80,99,3,overcast clouds
122,Tautira,PF,-17.7333,-149.15,71.62,79,24,10.94,few clouds
123,Kapaa,US,22.0752,-159.319,75.52,80,20,1.01,light rain
124,San Vicente,AR,-26.6167,-54.1333,77.38,83,85,4.76,light rain
125,Rio Grande,BR,-32.035,-52.0986,71.94,60,25,6.11,scattered clouds
126,Talnakh,RU,69.4865,88.3972,35.62,100,100,5.19,light rain
127,Mahébourg,MU,-20.4081,57.7,70.25,94,40,8.05,light rain
128,Togul,RU,53.465,85.9128,36.19,95,99,12.15,overcast clouds
129,Karpathos,GR,35.507,27.2132,67.96,64,20,27.63,few clouds
130,Yellowknife,CA,62.456,-114.3525,37.42,100,100,5.99,overcast clouds
131,Padang,ID,-0.9492,100.3543,77.05,84,77,3.06,broken clouds
132,Sæby,DK,57.3319,10.5225,58.96,81,54,7.4,broken clouds
133,Cape Town,ZA,-33.9258,18.4232,78.35,50,0,3,clear sky
134,Olafsvik,IS,64.8945,-23.7142,42.28,68,15,10.92,few clouds
135,Youkounkoun,GN,12.5333,-13.1333,93.04,49,53,3.38,broken clouds
136,Elverum,NO,60.8819,11.5623,51.6,93,100,1.28,overcast clouds
137,Sechura,PE,-5.5569,-80.8222,74.93,60,20,9.46,few clouds
138,Mersing,MY,2.4312,103.8405,78.24,88,100,4.79,overcast clouds
139,Mangai,CD,-4.05,19.5333,78.58,72,88,3.22,overcast clouds
140,San Patricio,US,28.017,-97.5169,84.87,46,3,1.68,clear sky
141,Tuktoyaktuk,CA,69.4541,-133.0374,27.73,84,98,14.76,overcast clouds
142,Thurso,GB,58.5927,-3.5259,50.25,77,32,10.65,scattered clouds
143,Batagay,RU,67.6333,134.6333,27.27,65,100,6.02,overcast clouds
144,Sukhumi,GE,43.0033,41.0153,57.97,80,59,9.91,broken clouds
145,Kavieng,PG,-2.5744,150.7967,78.94,80,100,3.94,light rain
146,Ugoofaaru,MV,5.6667,73,82.72,80,100,15.17,overcast clouds
147,Ambanja,MG,-13.6833,48.45,73.56,89,95,3.29,light rain
148,Erenhot,CN,43.6475,111.9767,46.35,64,1,7.14,clear sky
149,Tonantins,BR,-2.8731,-67.8022,84.31,73,98,3,overcast clouds
150,Mahon,ES,39.8885,4.2658,68.56,64,20,13.8,few clouds
151,Juneau,US,58.3019,-134.4197,37.09,95,20,0,fog
152,Katsuura,JP,35.1333,140.3,71.19,79,100,12.48,overcast clouds
153,Faanui,PF,-16.4833,-151.75,78.13,68,7,13.73,clear sky
154,Berlevåg,NO,70.8578,29.0864,44.6,76,62,17.9,broken clouds
155,Martinsville,US,36.6915,-79.8725,75.47,100,90,5.75,overcast clouds
156,Myrhorod,UA,49.9685,33.6089,46.09,35,0,8.95,clear sky
157,Cockburn Town,TC,21.4612,-71.1419,83.39,74,9,23.02,clear sky
158,Esim,GH,4.8699,-2.2405,81.77,75,91,9.15,overcast clouds
159,Chokurdakh,RU,70.6333,147.9167,22.73,93,97,10.85,overcast clouds
160,Svetlaya,RU,46.5389,138.3297,46.56,63,99,5.99,overcast clouds
161,Kruisfontein,ZA,-34.0033,24.7314,65.88,78,0,14.63,clear sky
162,Palana,RU,59.1167,159.9667,29.61,93,100,10.89,light snow
163,Sault Ste. Marie,CA,46.5168,-84.3333,64.96,63,1,0,clear sky
164,Krasnosel'kup,RU,65.7,82.4667,40.39,85,100,16.4,overcast clouds
165,Ratnagiri,IN,16.9833,73.3,81.25,85,100,3.31,overcast clouds
166,Vao,NC,-22.6667,167.4833,70.07,85,5,13.8,clear sky
167,Muromtsevo,RU,56.3724,75.2418,34.52,91,100,5.79,overcast clouds
168,Rundu,NA,-17.9333,19.7667,84.2,36,99,8.32,overcast clouds
169,Virginia Beach,US,36.8529,-75.978,80.65,77,75,1.01,broken clouds
170,Dzhebariki-Khaya,RU,62.2167,135.8,29.86,98,98,3.8,snow
171,Los Llanos de Aridane,ES,28.6585,-17.9182,73.15,75,13,12.66,volcanic ash
172,Klaksvík,FO,62.2266,-6.589,47.32,78,83,13.27,broken clouds
173,Cassilândia,BR,-19.1133,-51.7342,99.43,26,23,1.79,few clouds
174,Berbérati,CF,4.2612,15.7922,77,86,90,3.58,light rain
175,Zvishavane,ZW,-20.3267,30.0665,81.66,25,0,7.96,clear sky
176,Nikolskoye,RU,59.7035,30.7861,56.01,63,72,12.8,broken clouds
177,Elliot,ZA,-31.3333,27.85,57.56,63,100,5.32,overcast clouds
178,Bengkulu,ID,-3.8004,102.2655,75.43,90,32,3.8,moderate rain
179,Le Port,RE,-20.9373,55.2919,73.4,80,16,7.58,few clouds
180,Fernie,CA,49.5,-115.0687,57.61,64,92,6.35,overcast clouds
181,Nanortalik,GL,60.1432,-45.2371,41.5,58,100,4.92,overcast clouds
182,Alice Springs,AU,-23.7,133.8833,65.75,59,90,12.66,overcast clouds
183,Salalah,OM,17.0151,54.0924,80.69,89,75,6.91,light intensity drizzle
184,Cidreira,BR,-30.1811,-50.2056,71.01,67,60,0.43,broken clouds
185,Castro,BR,-24.7911,-50.0119,77.9,60,88,7.4,overcast clouds
186,Carutapera,BR,-1.195,-46.02,89.87,53,85,10.83,overcast clouds
187,Birjand,IR,32.8663,59.2211,72.37,10,0,5.48,clear sky
188,Bredasdorp,ZA,-34.5322,20.0403,66.27,79,0,16.98,clear sky
189,Arlit,NE,18.7369,7.3853,97.29,9,0,21.68,clear sky
190,Ontario,US,34.0633,-117.6509,73.4,83,90,1.99,haze
191,Tailai,CN,46.3833,123.4,43.12,59,29,3.06,scattered clouds
192,Broome,US,42.2506,-75.833,69.01,76,90,1.99,overcast clouds
193,Warkworth,NZ,-36.4,174.6667,61.48,95,100,10.31,overcast clouds
194,Pisco,PE,-13.7,-76.2167,66.02,78,43,8.01,scattered clouds
195,Chui,UY,-33.6971,-53.4616,66.76,55,3,11.39,clear sky
196,Puerto Carreño,CO,6.189,-67.4859,89.24,60,100,3.09,overcast clouds
197,Fortuna,US,40.5982,-124.1573,50.41,71,1,4.61,clear sky
198,Torbay,CA,47.6666,-52.7314,62.89,56,44,8.01,scattered clouds
199,Honningsvåg,NO,70.9821,25.9704,44.35,76,40,9.22,scattered clouds
200,Sioux Lookout,CA,50.1001,-91.917,66.07,63,9,11.48,clear sky
201,Östersund,SE,63.1792,14.6357,46.85,100,90,1.14,light intensity drizzle
202,Kahului,US,20.8947,-156.47,75.22,80,20,13.8,few clouds
203,Tiksi,RU,71.6872,128.8694,23.99,95,100,0.34,light snow
204,Cherskiy,RU,68.75,161.3,13.19,96,99,7.38,overcast clouds
205,Oleksandrivka,UA,46.8383,32.7612,54.07,43,9,11.56,clear sky
206,Alofi,NU,-19.0595,-169.9187,76.41,77,37,14.32,scattered clouds
207,Batemans Bay,AU,-35.7167,150.1833,56.19,69,80,4.23,broken clouds
208,Beloha,MG,-25.1667,45.05,65.71,60,0,10.76,clear sky
209,Santa Fe,AR,-31.6333,-60.7,75.02,44,0,15.01,clear sky
210,Faya,SA,18.3851,42.4509,70.32,52,83,5.28,broken clouds
211,East London,ZA,-33.0153,27.9116,66.31,79,58,19.46,broken clouds
212,Gurdaha,IN,22.7347,88.7594,84.2,89,70,6.78,broken clouds
213,Pochutla,MX,15.7432,-96.4661,89.82,56,28,4,scattered clouds
214,Mumford,GH,5.2618,-0.759,80.46,81,100,10.45,overcast clouds
215,Nortelândia,BR,-14.4547,-56.8028,99.61,33,75,3.58,broken clouds
216,Shimoda,JP,34.6667,138.95,71.71,86,97,12.68,overcast clouds
217,Okhotsk,RU,59.3833,143.3,26.29,75,28,13.76,scattered clouds
218,Atherton,GB,53.5237,-2.4935,60.22,72,69,2.42,broken clouds
219,Horadiz,AZ,39.4488,47.3353,53.02,87,100,8.55,overcast clouds
220,Nuristan,AF,35.3,70.8333,41.16,59,0,5.28,clear sky
