City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
101,Praia Da Vitoria,PT,2021-09-26 13:03:44,38.7333,-27.0667,73.76,83,87,15.12
102,Victoria,HK,2021-09-26 13:00:03,22.2855,114.1577,86.22,71,13,4.0
103,Pangnirtung,CA,2021-09-26 13:03:44,66.1451,-65.7125,33.91,60,46,2.53
104,Upernavik,GL,2021-09-26 13:03:45,72.7868,-56.1549,22.66,66,15,4.99
105,Rocha,UY,2021-09-26 13:03:45,-34.4833,-54.3333,66.22,69,0,2.95
106,Guerrero Negro,MX,2021-09-26 13:03:45,27.9769,-114.0611,68.09,80,0,11.92
107,Paray-Le-Monial,FR,2021-09-26 13:03:46,46.4546,4.1158,73.98,69,90,5.99
108,Georgetown,MY,2021-09-26 13:00:14,5.4112,100.3354,78.89,94,40,1.01
109,Cayenne,GF,2021-09-26 13:03:46,4.9333,-52.3333,87.84,73,75,3.0
110,Mount Isa,AU,2021-09-26 13:00:54,-20.7333,139.5,78.57,13,0,8.05
111,Lompoc,US,2021-09-26 13:01:20,34.6391,-120.4579,58.68,87,90,1.01
112,Uglegorsk,RU,2021-09-26 13:03:46,49.0833,142.0333,51.84,86,7,7.05
113,Lagoa,PT,2021-09-26 13:03:47,39.05,-27.9833,68.04,84,27,26.89
114,Buala,SB,2021-09-26 13:03:47,-8.145,159.5921,80.42,81,55,4.74
115,San Quintin,MX,2021-09-26 13:03:48,30.4833,-115.95,67.05,81,100,7.11
116,Jian,CN,2021-09-26 13:03:48,27.1172,114.9793,86.56,56,4,4.7
117,Koygorodok,RU,2021-09-26 13:03:48,60.445,50.9968,43.59,93,100,8.46
118,Slave Lake,CA,2021-09-26 13:03:48,55.2834,-114.769,52.56,90,100,3.94
119,Talcahuano,CL,2021-09-26 13:03:49,-36.7167,-73.1167,49.68,66,0,5.75
120,Luancheng,CN,2021-09-26 13:03:49,37.8792,114.6517,63.45,92,100,6.24
121,Gobabis,NA,2021-09-26 13:03:49,-22.45,18.9667,91.33,8,2,8.61
122,Airai,TL,2021-09-26 13:03:50,-8.9266,125.4092,60.24,89,90,1.45
123,Cabra,ES,2021-09-26 13:03:50,37.4725,-4.4421,83.66,36,93,5.08
124,Rawson,AR,2021-09-26 13:01:39,-43.3002,-65.1023,50.86,39,4,17.18
125,Beloomut,RU,2021-09-26 13:03:51,54.9448,39.3394,48.13,94,100,11.34
126,Saint-Pierre,RE,2021-09-26 13:03:51,-21.3393,55.4781,77.29,69,0,28.77
127,Ermoupolis,GR,2021-09-26 13:03:51,37.4423,24.9425,80.17,50,0,13.8
